"codigo","descritor_do_codigo","fase_corrente_ano","fase_corrente_desc","fase_intermediaria_ano","fase_intermediaria_desc","destinacao_final_ano","destinacao_final_desc","observacoes_ano","observacoes_desc"
"053.4","GESTÃO DE CONTAS ESPECIAIS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"054","CONTROLE EXTERNO. AUDITORIA EXTERNA","","","","","","","",""
"054.1","PRESTAÇÃO DE CONTAS. TOMADA DE CONTAS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"054.2","TOMADA DE CONTAS ESPECIAL","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"059","OUTRAS AÇÕES REFERENTES À GESTÃO ORÇAMENTÁRIA E FINANCEIRA","","","","","","","",""
"059.1","COMPRA E SUBSCRIÇÃO DE AÇÕES","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"059.2","RECOLHIMENTO DE TRIBUTOS, IMPOSTOS E TAXAS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"059.3","FIXAÇÃO DE CUSTOS DE SERVIÇOS","","Enquanto vigora","","5 anos","","Eliminação","",""
"059.4","DEVOLUÇÃO AO ERÁRIO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"059.5","RESTITUIÇÃO DE RENDAS ARRECADADAS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"060","GESTÃO DA DOCUMENTAÇÃO E DA INFORMAÇÃO","","","","","","","",""
"060.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"061","GESTÃO DE DOCUMENTOS DE ARQUIVO","","","","","","","",""
"061.01","CONSTITUIÇÃO DA COMISSÃO PERMANENTE DE AVALIAÇÃO DE DOCUMENTOS (CPAD)","","","","","","","",""
"061.011","COMPOSIÇÃO E ATUAÇÃO","","4 anos","","5 anos","","Guarda permanente","",""
"061.012","OPERACIONALIZAÇÃO DE REUNIÕES","","2 anos","","–","","Eliminação","",""
"061.1","ADOÇÃO E CONTROLE DOS PROCEDIMENTOS DE PROTOCOLO","","2 anos","","–","","Eliminação","",""
"061.2","ANÁLISE DA SITUAÇÃO ARQUIVÍSTICA","","5 anos","","5 anos","","Guarda permanente","",""
"061.3","LEVANTAMENTO DA PRODUÇÃO E DO FLUXO DOCUMENTAL","","Até a finalização da elaboração dos instrumentos","","5 anos","","Eliminação","",""
"061.4","ELABORAÇÃO DOS INSTRUMENTOS TÉCNICOS DE GESTÃO DE DOCUMENTOS","","Até a finalização da elaboração dos instrumentos","","5 anos","","Guarda permanente","","Eliminar, 2 anos após a finalização da elaboração, as versões preliminares dos instrumentos, assim como os demais exemplares quando ocorrerem atualizações."
"061.5","APLICAÇÃO DOS INSTRUMENTOS TÉCNICOS DE GESTÃO DE DOCUMENTOS","","","","","","","",""
"061.51","CLASSIFICAÇÃO","","2 anos","","–","","Eliminação","",""
"061.52","AVALIAÇÃO","","","","","","","",""
"061.521","ELIMINAÇÃO","","5 anos","","–","","Guarda permanente","",""
"061.522","TRANSFERÊNCIA","","5 anos","","–","","Guarda permanente","",""
"061.523","RECOLHIMENTO","","5 anos","","–","","Guarda permanente","",""
"062","GESTÃO DE ACERVOS BIBLIOGRÁFICO E MUSEOLÓGICO","","","","","","","",""
"062.1","AQUISIÇÃO E INCORPORAÇÃO","","","","","","Eliminar, após 2 anos, os documentos referentes às ações de aquisição e incorporação não efetivadas.","",""
"062.11","COMPRA","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da aprovação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"062.12","DOAÇÃO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"062.13","PERMUTA","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"062.2","PROCESSAMENTO TÉCNICO","","","","","","","",""
"062.21","REGISTRO","","2 anos","","–","","Eliminação","",""
"062.22","CATALOGAÇÃO, CLASSIFICAÇÃO E INDEXAÇÃO","","2 anos","","–","","Eliminação","",""
"062.3","INVENTÁRIO","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Guarda permanente","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"062.4","DESINCORPORAÇÃO","","","","","","","",""
"062.41","DOAÇÃO","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"062.42","DESCARTE","","4 anos","","5 anos","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"063","CONTROLE DE ACESSO E DE MOVIMENTAÇÃO DE ACERVOS","","","","","","","",""
"063.1","CONSULTAS","","2 anos","","–","","Eliminação","",""
"063.2","EMPRÉSTIMOS","","Até a devolução","","1 ano","","Eliminação","",""
"063.3","MOVIMENTAÇÃO DE ACERVOS","","2 anos","","–","","Eliminação","",""
"064","CONSERVAÇÃO E PRESERVAÇÃO DE ACERVOS","","","","","","","",""
"064.01","AVALIAÇÃO E MONITORAMENTO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"064.1","DESINFESTAÇÃO E HIGIENIZAÇÃO","","2 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"064.2","CONTROLE DAS ÁREAS DE ARMAZENAMENTO","","2 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"064.3","REFORMATAÇÃO","","","","","","","",""
"064.31","MICROFILMAGEM","","2 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"064.32","DIGITALIZAÇÃO","","2 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"064.4","RESTAURAÇÃO","","2 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"065","PRODUÇÃO EDITORIAL","","","","","","","",""
"065.1","EDIÇÃO. COEDIÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"065.2","EDITORAÇÃO E PROGRAMAÇÃO VISUAL","","5 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"065.3","PROMOÇÃO, DIVULGAÇÃO E DISTRIBUIÇÃO","","5 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transa- ções que envolvam pagamento de despesas."
"066","GESTÃO DE TECNOLOGIA DA INFORMAÇÃO","","","","","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas.","",""
"066.1","DESENVOLVIMENTO E CONTROLE DE SISTEMAS INFORMATIZADOS","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"066.2","INSTALAÇÃO DE EQUIPAMENTOS","","Enquanto vigora","","5 anos","","Eliminação","",""
"066.3","ADMINISTRAÇÃO DA INFRAESTRUTURA TECNOLÓGICA","","","","","","","",""
"066.31","PROJETO DE MANUTENÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"066.32","GERENCIAMENTO E USO","","Enquanto vigora","","5 anos","","Eliminação","",""
"066.4","ADMINISTRAÇÃO DE BANCO DE DADOS","","","","","","","",""
"066.41","INSTALAÇÃO E CONFIGURAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"066.42","GERENCIAMENTO E USO","","Enquanto vigora","","5 anos","","Eliminação","",""
"066.9","OUTRAS AÇÕES REFERENTES À GESTÃO DE TECNOLOGIA DA INFORMAÇÃO","","","","","","","",""
"066.91","CONTROLE DO SUPORTE TÉCNICO","","5 anos","","–","","Eliminação","",""
"067","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da aprovação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão Eliminar, após 2 anos, os documentos referentes às con- tratações não efetivadas."
"069","OUTRAS AÇÕES REFERENTES À GESTÃO DA DOCUMENTAÇÃO E DA INFORMAÇÃO","","","","","","","",""
"069.1","TRATAMENTO TÉCNICO DA DOCUMENTAÇÃO ARQUIVÍSTICA PERMANENTE","","","","","","","",""
"069.11","ARRANJO E DESCRIÇÃO","","Até a conclusão da organização","","2 anos","","Guarda Permanente","","Eliminar, 2 anos após a conclusão da organização, as ver- sões preliminares das planilhas e dos estudos de apoio."
"069.12","ELABORAÇÃO DE INSTRUMENTOS DE PESQUISA","","Até a finalização da elaboração dos instru- mentos de pesquisa","","5 anos","","Guarda permanente","","Eliminar, 2 anos após a finalização da elaboração, as versões preliminares dos instrumentos assim como os demais exemplares quando ocorrerem atualizações."
"069.2","FORNECIMENTO DE CÓPIAS DE DOCUMENTOS","","2 anos","","–","","Eliminação","","Utilizar os prazos dos documentos financeiros para as transações que envolvam pagamento de despesas."
"069.3","PUBLICAÇÃO DE MATÉRIAS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"070","GESTÃO DOS SERVIÇOS POSTAIS E DE TELECOMUNICAÇÕES","","","","","","","",""
"070.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"071","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS","","","","","","Eliminar, após 2 anos, os documentos referentes às contratações não efetivadas.","",""
"071.1","SERVIÇO POSTAL","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"071.2","SERVIÇO DE RADIOFREQUÊNCIA","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"071.3","SERVIÇO DE TELEX","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"071.4","SERVIÇO DE TELEFONIA. SERVIÇO DE FAX","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"071.5","SERVIÇO DE TRANSMISSÃO DE DADOS, VOZ E IMAGEM","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão"
"072","EXECUÇÃO DE SERVIÇOS PELO ÓRGÃO E ENTIDADE","","2 anos","","–","","Eliminação","",""
"073","AUTORIZAÇÃO E CONTROLE DE USO","","","","","","","",""
"073.1","SERVIÇO DE RADIOFREQUÊNCIA","","2 anos","","–","","Eliminação","",""
"073.2","SERVIÇO DE TELEX","","2 anos","","–","","Eliminação","",""
"073.3","SERVIÇO DE TELEFONIA. SERVIÇO DE FAX","","","","","","","",""
"073.31","TRANSFERÊNCIA DE PROPRIEDADE OU TITULARIDADE","","Até a conclusão da transferência","","2 anos","","Eliminação","",""
"073.32","REGISTRO DE LIGAÇÕES","","2 anos","","–","","Eliminação","",""
"073.33","DIVULGAÇÃO DE LISTAS TELEFÔNICAS INTERNAS","","Enquanto vigora","","–","","Eliminação","",""
"073.4","SERVIÇO DE TRANSMISSÃO DE DADOS, VOZ E IMAGEM","","2 anos","","–","","Eliminação","",""
"080","PESSOAL MILITAR - ver anexo 1","","","","","","","",""
"090","VAGA","","","","","","","",""
"900","ADMINISTRAÇÃO DE ATIVIDADES ACESSÓRIAS","","","","","","","",""
"910","GESTÃO DE EVENTOS","","","","","","Eliminar, após 2 anos, os documentos referentes aos eventos não efetivados.","",""
"910.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"911","PLANEJAMENTO E PROGRAMAÇÃO","","5 anos","","5 anos","","Guarda permanente","",""
"912","DIVULGAÇÃO","","1 ano","","2 anos","","Eliminação","","Arquivar um exemplar do material de divulgação de cada evento."
"913","INSCRIÇÃO E CONTROLE DE FREQUÊNCIA","","Até a homologação do evento","","2 anos","","Eliminação","",""
"914","EMISSÃO DE CERTIFICADOS","","2 anos","","3 anos","","Guarda Permanente","",""
"915","AVALIAÇÃO DOS RESULTADOS","","Até a homologação do evento","","2 anos","","Guarda Permanente","","Eliminar, após 2 anos, os documentos cujas informações encontram-se recapituladas ou consolidadas em outros."
"916","HABILITAÇÃO, JULGAMENTO E RECURSOS","","Até a homologação do evento*","","2 anos","","Guarda permanente","","* Aguardar o término da ação, no caso de interposição de recursos. Eliminar, após 2 anos da homologação do evento, os documentos de recursos indeferidos."
"917","PREMIAÇÃO","","Até a homologação do evento","","2 anos","","Guarda permanente","",""
"918","CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS","","Até a aprovação das contas pelo Tribunal de Contas*","","5 anos a contar da apro- vação das contas pelo Tribunal de Contas**","","Eliminação","","* ou até a apresentação do Relatório de Gestão ** ou 10 anos a contar da apresentação do Relatório de Gestão Eliminar, após 2 anos, os documentos referentes às contratações não efetivadas."
"919","OUTRAS AÇÕES REFERENTES À GESTÃO DE EVENTOS","","","","","","","",""
"919.1","PARTICIPAÇÃO EM EVENTOS PROMOVIDOS E REALIZADOS POR OUTRAS INSTITUIÇÕES","","5 anos","","–","","Eliminação","","Utilizar os prazos de guarda e a destinação final dos assentamentos funcionais para os documentos comprobatórios de participação."
"920","PROMOÇÃO DE VISITAS","","","","","","","",""
"920.01","NORMATIZAÇÃO. REGULAMENTAÇÃO","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"921","PROGRAMAÇÃO DE VISITAS","","5 anos","","5 anos","","Guarda permanente","",""
"922","CONTROLE DE VISITAS E VISITANTES","","2 anos","","–","","Eliminação","",""
"990","OUTRAS AÇÕES REFERENTES À ADMINISTRAÇÃO DE ATIVIDADES ACESSÓRIAS","","","","","","","",""
"991","GESTÃO DE COMUNICAÇÕES EVENTUAIS","","1 ano","","–","","Eliminação","",""
"992","RELACIONAMENTO COM ASSOCIAÇÕES CULTURAIS, DE AMIGOS E DE SERVIDORES","","1 ano","","–","","Eliminação","",""
"80","PESSOAL MILITAR","","","","","","","",""
"80.1","LEGISLAÇÃO normas,  avisos,  portarias  (de  caráter  geral),  boletins  (adminis- trativo, de pessoal e de serviço), diretrizes, procedimentos, pare- ceres, estudos e/ou decisões de caráter geral","","Enquanto vigora","","5 anos","","Guarda permanente","","É opcional a reprodução dos documentos previamente ao recolhimento, para que a organização permaneça com cópias para consulta."
"80.2","IDENTIFICAÇÃO MILITAR","","","","","","","",""
"80.21","IDENTIDADE MILITAR. CARTEIRA. CARTÃO","","5 anos","","","","Eliminação","",""
"80.21/2","ficha de identidade grande ficha individual datiloscópica cartão índice ficha de dados cadastrais","","Enquanto o militar permanecer na ativa","","*","","Eliminação","","* O prazo total de guarda dos documentos é de 130 anos, independente do suporte. Serão transferidos ao arquivo intermediário após a transferência do militar para a reserva."
"80.21/3","guia de remessa de material de identificação mapa mensal do material técnico","","5 anos","","5 anos","","Eliminação","",""
"80.21/4","mapa mensal do material técnico","","","","","","","",""
"40.01","identidade provisória","","Enquanto vigora","","1 ano","","Guarda permanente","",""
"80.22","CONCESSÃO DE PASSAPORTE: DIPLOMÁTICO E / OU OFICIAL","","Enquanto vigora","","1 ano","","Eliminação","",""
"80.3","ASSENTAMENTOS INDIVIDUAIS. CADASTRO","","5 anos","","","","Eliminação","",""
"80.3/2","folhas de alterações caderneta registro cadastro caderneta sanitária declaração / cadastro de dependentes ficha individual declaração / alteração de beneficiários termo de opção ou de retificação da licença especial termo de renúncia de pensão militar","","Enquanto o militar permanecer na ativa","","130 anos","","Guarda permanente","","A Comissão Permanente de Avaliação de Documentos, findo o prazo total de guarda, poderá determinar a preservação de alguns conjuntos documentais de relevância para a Força."
"80.3/3","ficha de apresentação contagem de tempo de serviço ficha padrão PASEP ficha de código de especialidade concessão e cessação de porte de arma","","Enquanto o militar permanecer na ativa","","5 anos","","Eliminação","",""
"81","INGRESSO NAS FORÇAS ARMADAS","","","","","","","",""
"81.1","RECRUTAMENTO. SELEÇÃO inscrição para concurso cronograma de realização de provas controle da aplicação das provas","","5 anos","","","","Eliminação","",""
"81.1/2","edital de concursos e orientações específicas material de divulgação* relatórios e atas dos processos seletivos provas escritas, práticas e orais * gabaritos* instruções complementares de convocação e de sistema de serviço militar *","","5 anos","","5 anos","","Guarda permanente","","*Exemplares únicos."
"81.1/3","seleção e designação para incorporação e matrícula nomeação e termo de compromisso de banca de provas lista de candidatos questionário biográfico simplificado cartões respostas de testes ou provas do candidato testes provas de títulos resultados das provas relação dos candidatos aprovados recursos seleção para ingresso na carreira militar","","5 anos","","25 anos","","Eliminação","",""
"81.2","INCORPORAÇÃO","","5 anos","","","","Eliminação","",""
"81.2/2","atos de convocação à incorporação alistamento estágios dispensa ou isenção do serviço militar convocação à incorporação para prestar o serviço militar obrigatório (serviço militar inicial ou outras formas posteriores)","","5 anos","","47 anos","","Eliminação","",""
"81.3","MATRÍCULA","","5 anos","","","","Eliminação","",""
"81.3/2","admissão em escolas, centros e cursos de formação","","5 anos","","47 anos","","Eliminação","",""
"81.4","NOMEAÇÃO","","5 anos","","","","Eliminação","",""
"81.4/2","ingresso nos corpos e/ou quadros de carreira de oficiais, nos postos iniciais ou nos corpos/ quadros de oficiais da reserva","","5 anos","","47 anos","","Eliminação","",""
"81.5","EXERCÍCIOS DE MOBILIZAÇÃO / APRESENTAÇÃO","","5 anos","","","","Eliminação","",""
"81.5/2","campanhas de convocação mapas de encargos de mobilização relatórios sobre o exercício de apresentação da reserva controle de efetivo de militares temporários (médicos, farmacêuticos, dentistas, veterinários) tiros de guerra","","5 anos","","47 anos","","Eliminação","",""
"81.9","OUTROS ASSUNTOS REFERENTES A INGRESSO NAS FORÇAS ARMADAS","","","","","","","",""
"82","PLANO DE CARREIRA","","","","","","","",""
"82.1","PROMOÇÃO","","5 anos","","","","Eliminação","",""
"82.1/2","contagem de antigüidade propostas de posicionamento no quadro de acesso faixa de cogitação cogitação/inclusão no quadro de acesso lista de escolha ato de promoção ressarcimento e reconsideração de ato recontagem de pontos correção de posição hierárquica retificação de promoção lista de méritos relativos informações sobre a existência de inquéritos e ações judiciais envolvendo os avaliados promoção post-mortem promoção por motivo de justiça","","Enquanto o militar permanecer na ativa","","130 anos","","Eliminação","",""
"82.2","CURSOS","","","","","","","",""
"82.21","FORMAÇÃO. ADAPTAÇÃO","","5 anos","","","","Eliminação","",""
"82.21/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.22","APERFEIÇOAMENTO. ESPECIALIZAÇÃO","","5 anos","","","","Eliminação","",""
"82.22/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.23","ESTADO-MAIOR","","5 anos","","","","Eliminação","",""
"82.23/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.24","ALTOS ESTUDOS MILITARES","","5 anos","","47 anos","","Eliminação","",""
"82.21/2","designação,matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.3","AVALIAÇÃO","","5 anos","","","","Eliminação","",""
"82.3/2","fichas /folhas de avaliação","","5 anos","","47 anos","","Eliminação","",""
"82.4","REQUISITOS ESPECÍFICOS DE CARREIRA","","5 anos","","","","Eliminação","",""
"82.4/2","manobra tempo de tropa tempo de embarque vivência nacional dias de mar atividade bélica horas de vôo","","5 anos","","47 anos","","Eliminação","",""
"82.5","CURSOS COMPLEMENTARES","","","","","","","",""
"82.51","ADESTRAMENTO","","5 anos","","","","Eliminação","",""
"82.51/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos diversos tipos de adestramentos","","5 anos","","47 anos","","Eliminação","",""
"82.52","PÓS-GRADUAÇÃO LATO SENSU (Aperfeiçoamento e Especialização)","","5 anos","","","","Eliminação","",""
"82.52/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.53","QUALIFICAÇÃO TÉCNICA ESPECIAL","","5 anos","","","","Eliminação","",""
"82.53/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.54","PÓS-GRADUAÇÃO STRICTO SENSU (Mestrado e Doutorado)","","5 anos","","","","Eliminação","",""
"82.54/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.55","PÓS-DOUTORADO","","5 anos","","","","Eliminação","",""
"82.55/2","designação, matrícula, conclusão, cancelamento, trancamento e/ou desligamento dos cursos","","5 anos","","47 anos","","Eliminação","",""
"82.6","PRORROGAÇÃO DE TEMPO DE SERVIÇO. REENGAJAMENTO","","5 anos","","","","Eliminação","",""
"82.6/2","requerimentos, avaliações, pareceres e despachos","","5 anos","","47 anos","","Eliminação","",""
"82.7","TRANSPOSIÇÃO DE QUADRO","","5 anos","","","","Eliminação","",""
"82.7/2","requerimentos, avaliações, pareceres e despachos","","5 anos","","47 anos","","Eliminação","",""
"82.9","OUTROS ASSUNTOS REFERENTES A PLANO DE CARREIRA","","","","","","","",""
"83","MOVIMENTAÇÃO. DESTAQUE. ADIÇÃO. EXCLUSÃO DO SERVIÇO ATIVO mapas de lotação de oficiais e praças","","5 anos","","","","Eliminação","",""
"83/2","planos de movimentação","","Enquanto vigora","","5 anos","","Guarda permanente","",""
"83.1","MOVIMENTAÇÃO","","","","","","","",""
"83.11","MOTIVO DE SAÚDE","","5 anos","","","","Eliminação","",""
"83.11/2","solicitação da movimentação cópia da ata de inspeção de saúde termo de inspeção de saúde","","5 anos","","47 anos","","Eliminação","",""
"83.12","INTERESSE DO MILITAR","","5 anos","","","","Eliminação","",""
"83.12/2","solicitação da movimentação ordem de movimentação portaria de movimentação","","5 anos","","47 anos","","Eliminação","",""
"83.13","NECESSIDADE DO SERVIÇO","","5 anos","","","","Eliminação","",""
"83.13/2","proposta de plano de movimentação solicitações de Órgãos de Direção-Geral ou Setorial incompatibilidade de posto, matrícula, término de curso, intercâmbio e a bem da disciplina","","5 anos","","47 anos","","Eliminação","",""
"83.14","MOTIVO DE JUSTIÇA","","5 anos","","","","Eliminação","",""
"83.14/2","ordem judicial","","Até o trânsito em julgado","","","","Eliminação","",""
"83.2","DESTAQUE. ADIÇÃO","","5 anos","","","","Eliminação","",""
"83.2/2","pareceres despachos","","5 anos","","47 anos","","Eliminação","",""
"83.3","EXCLUSÃO DO SERVIÇO ATIVO","","5 anos","","","","Eliminação","",""
"83.3/2","demissão perda do posto e da patente licenciamento anulação de incorporação desincorporação a bem da disciplina falecimento","","5 anos","","47 anos","","Eliminação","",""
"83.3/3","deserção extravio","","Até a apuração do fato","","100 anos","","Eliminação","",""
"83.9","OUTROS ASSUNTOS REFERENTES À MOVIMENTAÇÃO. DESTAQUE. ADIÇÃO. EXCLUSÃO DO SERVIÇO ATIVO","","5 anos","","","","Eliminação","",""
"83.9/2","posse e nomeação para cargos públicos","","5 anos","","47 anos","","Eliminação","",""
"84","VIOLAÇÃO DAS OBRIGAÇÕES E DOS DEVERES","","","","","","","",""
"84.1","TRANSGRESSÕES E / OU CONTRAVENÇÕES DISCIPLINARES","","5 anos","","","","Eliminação","",""
"84.1/2","sindicância acareação e apuração das transgressões e/ou contravenções aplicação das punições disciplinares.","","5 anos","","47 anos","","Eliminação","",""
"84.2","CRIMES MILITARES","","5 anos","","","","Eliminação","",""
"84.2/2","portaria de nomeação do encarregado e escrivão do IPM solução do IPM oficio de remessa do IPM à Justiça Militar","","5 anos","","5 anos","","Guarda permanente","","Os autos dos Inquéritos Policiais Militares (IPM) serão encaminhados à Justiça Militar."
"84.3","CONSELHOS","","","","","","","",""
"84.31","DE DISCIPLINA","","5 anos","","","","Eliminação","",""
"84.31/2","nomeação dos membros do conselho, atos de afastamento do acusado, autos do conselho, conclusões e decisões","","Até o despacho final do Comandante da Força","","130 anos","","Eliminação","","Caso seja considerado crime, os autos do processo do Conselho serão encaminhados à Justiça Militar."
"84.32","DE JUSTIFICAÇÃO","","5 anos","","","","Eliminação","",""
"84.32/2","nomeação dos membros do conselho, atos de afastamento do justificante, autos do conselho, conclusões e decisões","","Até o trânsito em julgado","","130 anos","","Eliminação","","Os autos do processo do Conselho serão encaminhados à Justiça Militar."
"85","DIREITOS E PRERROGATIVAS","","","","","","","",""
"85.1","RECOMPENSAS. DISTINÇÕES. HONRARIAS","","5 anos","","","","Eliminação","",""
"85.1/2","prêmios de honra ao mérito elogios louvores referências elogiosas distintivos dispensas de serviço","","5 anos","","47 anos","","Eliminação","",""
"85.1/3","relações de agraciados com as condecorações relações daqueles que tiveram as condecorações cassadas","","5 anos","","5 anos","","Guarda permanente","",""
"85.2","LICENÇAS","","5 anos","","","","Eliminação","",""
"85.2/2","adotante para acompanhar o cônjuge / companheiro(a) candidato a cargo eletivo especial gestante paternidade para tratar de interesse particular para tratamento de saúde de pessoa da família para tratamento de saúde própria","","5 anos","","47 anos","","Eliminação","",""
"85.3","AFASTAMENTOS","","5 anos","","","","Eliminação","",""
"85.3/2","instalação (no Brasil e no exterior) luto núpcias trânsito (no Brasil e no exterior)","","5 anos","","47 anos","","Eliminação","",""
"85.4","DISPENSAS DE SERVIÇO","","5 anos","","","","Eliminação","",""
"85.4/2","para desconto em férias por prescrição médica","","5 anos","","47 anos","","Eliminação","",""
"85.5","FÉRIAS","","5 anos","","","","Eliminação","",""
"85.5/2","planejamento, solicitação, concessão, cancelamento e publicação","","5 anos","","47 anos","","Eliminação","",""
"85.6","REMUNERAÇÃO.PROVENTOS","","","","","","","",""
